step,time_seconds,total_energy,relative_energy_drift,momentum_x,momentum_y,momentum_z,momentum_drift,center_of_mass_x,center_of_mass_y,center_of_mass_z,center_of_mass_drift
1224,4.40640000000000000e+06,-1.97268632471996306e+35,2.70264861949341344e-12,-1.63992159282790400e+15,3.18360656733700339e+31,0.00000000000000000e+00,3.60660998371646800e+16,1.50861297265463758e+09,7.04534164339169562e+07,0.00000000000000000e+00,7.04534164339169562e+07
1248,4.49280000000000000e+06,-1.97268632471996749e+35,2.70489287825986007e-12,-2.88236973221478400e+15,3.18360656733700339e+31,0.00000000000000000e+00,3.61439105508368400e+16,1.50861297265463758e+09,7.18348559718369097e+07,0.00000000000000000e+00,7.18348559718369097e+07
1272,4.57920000000000000e+06,-1.97268632471996527e+35,2.70377074887663696e-12,-1.87906537186918400e+15,3.18360656733700384e+31,0.00000000000000000e+00,4.05759296204972160e+16,1.50861297265463734e+09,7.32162955097568333e+07,0.00000000000000000e+00,7.32162955097568333e+07
1296,4.66560000000000000e+06,-1.97268632471995199e+35,2.69703797257729666e-12,-1.37383977890611200e+15,3.18360656733700339e+31,0.00000000000000000e+00,3.60549809370607200e+16,1.50861297265463758e+09,7.45977350476767719e+07,0.00000000000000000e+00,7.45977350476767719e+07
1320,4.75200000000000000e+06,-1.97268632471993133e+35,2.68656476500054572e-12,-8.65315651059712000e+14,3.18360656733700204e+31,0.00000000000000000e+00,2.25346180634875800e+16,1.50861297265463853e+09,7.59791745855967104e+07,0.00000000000000000e+00,7.59791745855967104e+07
1344,4.83840000000000000e+06,-1.97268632471991178e+35,2.67665262211540614e-12,3.84829069721600000e+12,3.18360656733700114e+31,0.00000000000000000e+00,1.35107994301672000e+16,1.50861297265463829e+09,7.73606141235166639e+07,0.00000000000000000e+00,7.73606141235166639e+07
1368,4.92480000000000000e+06,-1.97268632471988153e+35,2.66131685387802063e-12,-1.15998476730368000e+14,3.18360656733700114e+31,0.00000000000000000e+00,1.35112968318910380e+16,1.50861297265463853e+09,7.87420536614365876e+07,0.00000000000000000e+00,7.87420536614365876e+07
1392,5.01120000000000000e+06,-1.97268632471984722e+35,2.64392384843805855e-12,-3.34251534843904000e+14,3.18360656733700159e+31,0.00000000000000000e+00,1.80174992090182200e+16,1.50861297265463829e+09,8.01234931993564963e+07,0.00000000000000000e+00,8.01234931993564963e+07
1416,5.09760000000000000e+06,-1.97268632471980663e+35,2.62335147641229757e-12,7.19630360379392000e+14,3.18360656733700024e+31,0.00000000000000000e+00,4.56073211877560800e+15,1.50861297265463781e+09,8.15049327372764498e+07,0.00000000000000000e+00,8.15049327372764498e+07
1440,5.18400000000000000e+06,-1.97268632471976310e+35,2.60128293187557177e-12,9.49428290584576000e+14,3.18360656733700069e+31,0.00000000000000000e+00,9.05709956297097600e+15,1.50861297265463781e+09,8.28863722751963884e+07,0.00000000000000000e+00,8.28863722751963884e+07
